word,frequency,length
we,3138,2
ve,264,2
still,865,5
got,504,3
the,75247,3
dower,5,5
house,655,5
and,31175,3
lincolnshire,10,12
is,11354,2
lovely,56,6
in,23270,2
may,1510,3
my,1452,2
first,1484,5
real,281,4
friend,156,6
was,10549,3
probably,275,8
a,25472,1
boy,285,3
called,511,6
adam,56,4
she,3276,3
wearing,60,7
denim,12,5
overalls,17,8
carrying,83,8
bucket,18,6
brush,56,5
next,434,4
year,917,4
he,10271,2
had,5439,3
custody,13,7
of,39233,2
rochester,13,9
castle,21,6
booking,14,7
essential,108,9
for,10179,3
cycle,34,5
ride,68,4
around,637,6
wirral,10,6
country,381,7
park,115,4
on,7207,2
sunday,118,6
when,2477,4
leader,92,6
will,2469,4
be,6891,2
cheshire,11,8
ranger,12,6
barry,17,5
jackson,48,7
this,5610,4
expression,87,10
fundamental,66,11
theorem,26,7
riemannian,8,10
geometry,17,8
greg,45,4
hocking,7,7
one,3687,3
those,901,5
rare,56,4
people,1025,6
who,2481,3
drift,28,5
into,1946,4
teaching,76,8
find,436,4
themselves,304,10
to,28486,2
their,2869,5
own,842,3
surprise,57,8
absolutely,41,10
cut,238,3
out,2310,3
job,261,3
appointment,44,11
office,278,6
new,1755,3
minister,78,8
take,728,4
over,1400,4
responsibility,139,14
many,1114,4
departmental,5,12
policies,87,8
rhun,10,4
his,7417,3
kindness,13,8
lent,9,4
an,4024,2
arm,130,3
raise,58,5
him,2745,3
from,4768,4
knees,58,5
hung,80,4
heavily,71,7
clinging,17,8
desperate,40,9
humility,13,8
figure,241,6
shows,132,5
how,953,3
measure,102,7
per,438,3
unit,133,4
area,374,4
varies,18,6
with,7735,4
radiometer,9,10
reading,156,7
some,1734,4
pubs,7,4
fake,16,4
hand,510,4
pumps,9,5
serve,114,5
gassy,5,5
beer,47,4
preliminary,30,11
work,891,4
began,372,5
last,762,4
september,68,9
following,242,9
two,1634,3
countryside,15,11
officers,107,8
are,4816,3
employed,57,8
full,315,4
time,1858,4
project,103,7
course,550,6
only,1882,4
tendency,58,8
move,186,4
away,488,4
local,338,5
policemen,18,9
larger,137,6
centralised,2,11
policing,18,8
reduce,78,6
effect,239,6
tod,6,3
features,102,8
another,787,7
kind,330,4
dream,111,5
which,3667,5
woman,276,5
valuable,57,8
coaching,12,8
can,2224,3
often,401,5
come,672,4
drama,62,5
school,551,6
tutors,5,6
give,446,4
fair,95,4
assessment,31,10
possibilities,48,13
you,4106,3
have,4231,4
prior,56,5
auditioning,5,11
because,958,7
simulated,17,9
annealing,10,9
stochastic,8,10
algorithm,11,9
different,373,9
runs,69,4
probeorder,10,10
not,5114,3
necessarily,61,11
produce,101,7
same,752,4
output,54,6
probe,16,5
order,419,5
although,359,8
music,230,5
animated,12,8
arms,132,4
moved,208,5
but,4681,3
report,197,6
also,1178,4
blasts,10,6
authority,104,9
bosses,11,6
failing,23,7
control,253,7
activities,133,10
old,848,3
mr,934,2
watney,8,6
took,448,4
early,410,5
retirement,43,10
would,2858,5
reply,44,5
personally,53,10
included,117,8
postage,7,7
police,201,6
appealing,20,9
witnesses,29,9
incident,63,8
happened,178,8
at,5726,2
monday,79,6
windsor,10,7
street,275,6
toxteth,8,7
surface,257,7
need,418,4
perfectly,37,9
flat,97,4
or,4486,2
smooth,50,6
there,3109,5
empty,84,5
council,146,7
houses,98,6
almost,474,6
been,2682,4
more,2348,4
than,1947,4
heath,11,5
sums,20,4
up,2143,2
influential,23,11
long,927,4
established,138,11
tradition,118,9
study,266,5
class,287,5
differences,96,11
education,258,9
price,157,5
enormous,42,8
use,639,3
significant,113,11
improvement,49,11
attendance,16,10
miners,14,6
mansfield,9,9
clinic,12,6
however,636,7
since,669,5
much,1034,4
closer,72,6
homes,73,5
then,1484,4
maybe,143,5
most,1229,4
faults,9,6
were,3517,4
side,424,4
gere,8,4
basinger,10,8
star,49,4
erotic,16,6
thriller,12,8
final,176,5
analysis,129,8
warner,11,6
home,607,4
video,30,5
released,38,8
libraries,34,9
